#serie;mention;specialite;option;code;libelle;coefficient;composition;bonus;facultatif;annee
S;EAT;E;R;204;MATHEMATIQUES;7;;;;2017
S;SCI;C;E;204;MATHEMATIQUES;7;;;;2017
S;SCI;C;R;204;MATHEMATIQUES;7;;;;2017
S;SCI;I;E;204;MATHEMATIQUES;7;;;;2017
S;SCI;I;R;204;MATHEMATIQUES;7;;;;2017
S;SCI;P;E;204;MATHEMATIQUES;7;;;;2017
S;SCI;P;R;204;MATHEMATIQUES;7;;;;2017
S;SVT;I;E;204;MATHEMATIQUES;7;;;;2017
S;SVT;I;R;204;MATHEMATIQUES;7;;;;2017
S;SVT;P;E;204;MATHEMATIQUES;7;;;;2017
S;SVT;P;R;204;MATHEMATIQUES;7;;;;2017
S;SVT;S;E;204;MATHEMATIQUES;7;;;;2017
S;SVT;S;R;204;MATHEMATIQUES;7;;;;2017
S;SCI;P;E;005;PHYS-CHIMIE;8;*;;;2017
S;SCI;P;R;005;PHYS-CHIMIE;8;*;;;2017
S;SVT;P;E;005;PHYS-CHIMIE;8;*;;;2017
S;SVT;P;R;005;PHYS-CHIMIE;8;*;;;2017
S;SCI;C;E;006-2;SC. INGENIEUR;8;*;;;2017
S;SCI;C;R;006-2;SC. INGENIEUR;8;*;;;2017
S;SVT;S;E;006-3;SC. VIE TERRE;8;*;;;2017
S;SVT;S;R;006-3;SC. VIE TERRE;8;*;;;2017
S;SCI;P;E;205;PHYS-CHIMIE;8;;;;2017
S;SCI;P;R;205;PHYS-CHIMIE;8;;;;2017
S;SVT;P;E;205;PHYS-CHIMIE;8;;;;2017
S;SVT;P;R;205;PHYS-CHIMIE;8;;;;2017
S;SCI;C;R;206-2;SC. INGENIEUR;8;;;;2017
S;SVT;S;E;206-3;SC. VIE TERRE;8;;;;2017
S;SVT;S;R;206-3;SC. VIE TERRE;8;;;;2017
S;SCI;M;R;004;MATHEMATIQUES;9;;;;2017
S;SVT;M;E;004;MATHEMATIQUES;9;;;;2017
S;SVT;M;R;004;MATHEMATIQUES;9;;;;2017
S;SCI;M;R;204;MATHEMATIQUES;9;;;;2017
S;SVT;M;E;204;MATHEMATIQUES;9;;;;2017
S;SVT;M;R;204;MATHEMATIQUES;9;;;;2017
S;SCI;C;E;006BA;COND REV PROJ;;;;;2017
S;SCI;C;R;006BA;COND REV PROJ;;;;;2017
S;SCI;I;E;006BA;COND REV PROJ;;;;;2017
S;SCI;I;R;006BA;COND REV PROJ;;;;;2017
S;SCI;M;R;006BA;COND REV PROJ;;;;;2017
S;SCI;P;E;006BA;COND REV PROJ;;;;;2017
S;SCI;P;R;006BA;COND REV PROJ;;;;;2017
S;SCI;C;E;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;C;R;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;I;E;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;I;R;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;M;R;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;P;E;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;P;R;006BB;PRSENTAT PROJ;;;;;2017
S;SCI;C;R;010;ED.PHYS.SPORT;;*;*;;2017
S;SCI;I;R;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;I;R;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;M;R;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;P;E;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;P;R;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;S;E;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;S;R;010;ED.PHYS.SPORT;;*;*;;2017
S;SVT;M;R;010A;1ERE ACT.EPS;;;;;2017
S;SVT;M;R;010B;2EME ACT.EPS;;;;;2017
S;SCI;C;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SCI;I;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SCI;P;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SVT;I;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SVT;M;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SVT;P;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SVT;S;E;014;EVALUAT.SPEC.;;*;*;;2017
S;SCI;C;E;015;EPR.FACULT.1;;;*;*;2017
S;SCI;C;R;015;EPR.FACULT.1;;;*;*;2017
S;SCI;I;E;015;EPR.FACULT.1;;;*;*;2017
S;SCI;I;R;015;EPR.FACULT.1;;;*;*;2017
S;SCI;M;R;015;EPR.FACULT.1;;;*;*;2017
S;SCI;P;E;015;EPR.FACULT.1;;;*;*;2017
S;SCI;P;R;015;EPR.FACULT.1;;;*;*;2017
S;SVT;I;E;015;EPR.FACULT.1;;;*;*;2017
S;SVT;I;R;015;EPR.FACULT.1;;;*;*;2017
S;SVT;M;E;015;EPR.FACULT.1;;;*;*;2017
S;SVT;M;R;015;EPR.FACULT.1;;;*;*;2017
S;SVT;P;E;015;EPR.FACULT.1;;;*;*;2017
S;SVT;P;R;015;EPR.FACULT.1;;;*;*;2017
S;SVT;S;E;015;EPR.FACULT.1;;;*;*;2017
S;SVT;S;R;015;EPR.FACULT.1;;;*;*;2017
S;SCI;C;R;015A;ACTIVITE EPS;;;;;2017
S;SCI;I;R;015A;ACTIVITE EPS;;;;;2017
S;SCI;M;R;015A;ACTIVITE EPS;;;;;2017
S;SVT;I;R;015A;ACTIVITE EPS;;;;;2017
S;SVT;M;R;015A;ACTIVITE EPS;;;;;2017
S;SVT;P;R;015A;ACTIVITE EPS;;;;;2017
S;SVT;S;E;015A;ACTIVITE EPS;;;;;2017
S;SVT;S;R;015A;ACTIVITE EPS;;;;;2017
S;SCI;C;R;016;EPR.FACULT.2;;;*;*;2017
S;SCI;I;R;016;EPR.FACULT.2;;;*;*;2017
S;SVT;I;E;016;EPR.FACULT.2;;;*;*;2017
S;SVT;I;R;016;EPR.FACULT.2;;;*;*;2017
S;SVT;M;E;016;EPR.FACULT.2;;;*;*;2017
S;SVT;M;R;016;EPR.FACULT.2;;;*;*;2017
S;SVT;P;E;016;EPR.FACULT.2;;;*;*;2017
S;SVT;P;R;016;EPR.FACULT.2;;;*;*;2017
S;SVT;S;E;016;EPR.FACULT.2;;;*;*;2017
S;SVT;S;R;016;EPR.FACULT.2;;;*;*;2017
S;SCI;I;R;016A;ACTIVITE EPS;;;;;2017
S;SVT;P;R;016A;ACTIVITE EPS;;;;;2017
S;SVT;S;E;016A;ACTIVITE EPS;;;;;2017
S;SVT;S;R;016A;ACTIVITE EPS;;;;;2017
S;EAT;E;R;017;TRAV PERS ENC;;;*;;2017
S;SCI;C;E;017;TRAV PERS ENC;;;*;;2017
S;SCI;C;R;017;TRAV PERS ENC;;;*;;2017
S;SCI;I;E;017;TRAV PERS ENC;;;*;;2017
S;SCI;I;R;017;TRAV PERS ENC;;;*;;2017
S;SCI;M;R;017;TRAV PERS ENC;;;*;;2017
S;SCI;P;E;017;TRAV PERS ENC;;;*;;2017
S;SCI;P;R;017;TRAV PERS ENC;;;*;;2017
S;SVT;I;E;017;TRAV PERS ENC;;;*;;2017
S;SVT;I;R;017;TRAV PERS ENC;;;*;;2017
S;SVT;M;E;017;TRAV PERS ENC;;;*;;2017
S;SVT;M;R;017;TRAV PERS ENC;;;*;;2017
S;SVT;P;E;017;TRAV PERS ENC;;;*;;2017
S;SVT;P;R;017;TRAV PERS ENC;;;*;;2017
S;SVT;S;E;017;TRAV PERS ENC;;;*;;2017
S;SVT;S;R;017;TRAV PERS ENC;;;*;;2017
