id;code1;libelle1;code2;libelle2;note
0316914522;001;FRANCAIS ECR.; ;;8
0316914648;001;FRANCAIS ECR.; ;;6
0316914697;001;FRANCAIS ECR.; ;;8
0316914807;001;FRANCAIS ECR.; ;;12
0316915014;001;FRANCAIS ECR.; ;;7
0316915060;001;FRANCAIS ECR.; ;;6
0316915127;001;FRANCAIS ECR.; ;;11
0316915131;001;FRANCAIS ECR.; ;;10
0316915184;001;FRANCAIS ECR.; ;;6
0316915255;001;FRANCAIS ECR.; ;;5
0316915541;001;FRANCAIS ECR.; ;;9
0316915590;001;FRANCAIS ECR.; ;;9
0316915835;001;FRANCAIS ECR.; ;;11
0316915966;001;FRANCAIS ECR.; ;;7
0316915968;001;FRANCAIS ECR.; ;;9
0316916009;001;FRANCAIS ECR.; ;;7
0316916332;001;FRANCAIS ECR.; ;;7
0316916416;001;FRANCAIS ECR.; ;;10
0316916429;001;FRANCAIS ECR.; ;;14
0316916595;001;FRANCAIS ECR.; ;;7
0316916651;001;FRANCAIS ECR.; ;;9
0316916654;001;FRANCAIS ECR.; ;;8
0316916691;001;FRANCAIS ECR.; ;;9
0316916707;001;FRANCAIS ECR.; ;;9
0316916718;001;FRANCAIS ECR.; ;;10
0316916794;001;FRANCAIS ECR.; ;;9
0316916811;001;FRANCAIS ECR.; ;;7
0316916919;001;FRANCAIS ECR.; ;;13
0316916977;001;FRANCAIS ECR.; ;;14
0316916989;001;FRANCAIS ECR.; ;;8
0316916990;001;FRANCAIS ECR.; ;;8
0316917041;001;FRANCAIS ECR.; ;;12
0316917125;001;FRANCAIS ECR.; ;;12
0316917530;001;FRANCAIS ECR.; ;;9
0316917644;001;FRANCAIS ECR.; ;;6
0316917764;001;FRANCAIS ECR.; ;;9
0316917861;001;FRANCAIS ECR.; ;;4
0316917880;001;FRANCAIS ECR.; ;;9
0316918008;001;FRANCAIS ECR.; ;;8
0316918116;001;FRANCAIS ECR.; ;;6
0316918202;001;FRANCAIS ECR.; ;;6
0316918234;001;FRANCAIS ECR.; ;;8
0316918285;001;FRANCAIS ECR.; ;;6
0316918291;001;FRANCAIS ECR.; ;;9
0316918297;001;FRANCAIS ECR.; ;;6
0316918503;001;FRANCAIS ECR.; ;;12
0316918504;001;FRANCAIS ECR.; ;;5
0316918512;001;FRANCAIS ECR.; ;;7
0316918691;001;FRANCAIS ECR.; ;;11
0316918740;001;FRANCAIS ECR.; ;;7
0316918853;001;FRANCAIS ECR.; ;;9
0316918915;001;FRANCAIS ECR.; ;;7
0316919104;001;FRANCAIS ECR.; ;;9
0316919214;001;FRANCAIS ECR.; ;;10
0316919245;001;FRANCAIS ECR.; ;;6
0316919317;001;FRANCAIS ECR.; ;;13
0316919327;001;FRANCAIS ECR.; ;;6
0316919856;001;FRANCAIS ECR.; ;;11
0316920072;001;FRANCAIS ECR.; ;;11
0516187624;001;FRANCAIS ECR.; ;;7
0316914030;001;FRANCAIS ECR.; ;;8
0316914981;001;FRANCAIS ECR.; ;;8
0316916074;001;FRANCAIS ECR.; ;;9
0316916583;001;FRANCAIS ECR.; ;;10
0316917726;001;FRANCAIS ECR.; ;;11
0316917853;001;FRANCAIS ECR.; ;;12
0316919152;001;FRANCAIS ECR.; ;;8
0316522148;001;FRANCAIS ECR.; ;;13
0316653062;001;FRANCAIS ECR.; ;;9
0316653097;001;FRANCAIS ECR.; ;;10
0316653261;001;FRANCAIS ECR.; ;;9
0316654735;001;FRANCAIS ECR.; ;;10
0316655332;001;FRANCAIS ECR.; ;;8
0316656485;001;FRANCAIS ECR.; ;;10
0316657052;001;FRANCAIS ECR.; ;;9
0316657260;001;FRANCAIS ECR.; ;;10
0316657543;001;FRANCAIS ECR.; ;;8
0316658613;001;FRANCAIS ECR.; ;;6
0316658733;001;FRANCAIS ECR.; ;;8
0316658734;001;FRANCAIS ECR.; ;;6
0316659359;001;FRANCAIS ECR.; ;;5
0316727736;001;FRANCAIS ECR.; ;;4
0316913803;001;FRANCAIS ECR.; ;;7
0316913842;001;FRANCAIS ECR.; ;;7
0316913886;001;FRANCAIS ECR.; ;;9
0316913972;001;FRANCAIS ECR.; ;;5
0316914066;001;FRANCAIS ECR.; ;;10
0316914089;001;FRANCAIS ECR.; ;;10
0316914120;001;FRANCAIS ECR.; ;;12
0316914225;001;FRANCAIS ECR.; ;;5
0316914517;001;FRANCAIS ECR.; ;;8
0316914566;001;FRANCAIS ECR.; ;;9
0316914754;001;FRANCAIS ECR.; ;;7
0316914829;001;FRANCAIS ECR.; ;;6
0316914861;001;FRANCAIS ECR.; ;;8
0316915128;001;FRANCAIS ECR.; ;;7
0316915168;001;FRANCAIS ECR.; ;;9
0316915444;001;FRANCAIS ECR.; ;;13
0316915563;001;FRANCAIS ECR.; ;;11
0316915628;001;FRANCAIS ECR.; ;;8
0316915702;001;FRANCAIS ECR.; ;;11
0316915837;001;FRANCAIS ECR.; ;;8
0316915880;001;FRANCAIS ECR.; ;;10
0316915906;001;FRANCAIS ECR.; ;;6
0316916016;001;FRANCAIS ECR.; ;;11
0316916068;001;FRANCAIS ECR.; ;;10
0316916100;001;FRANCAIS ECR.; ;;6
0316916202;001;FRANCAIS ECR.; ;;5
0316916210;001;FRANCAIS ECR.; ;;8
0316916218;001;FRANCAIS ECR.; ;;8
0316916240;001;FRANCAIS ECR.; ;;12
0316916259;001;FRANCAIS ECR.; ;;12
0316916404;001;FRANCAIS ECR.; ;;8
0316916612;001;FRANCAIS ECR.; ;;7
0316916635;001;FRANCAIS ECR.; ;;9
0316916928;001;FRANCAIS ECR.; ;;6
0316917063;001;FRANCAIS ECR.; ;;7
0316917124;001;FRANCAIS ECR.; ;;9
